Depot1|Metrostrasse 12, 40235 Düsseldorf|51.234749|6.825345|DEPOT
Depot2|Ludenberger Str. 1, 40629 Düsseldorf|51.241368|6.830328|DEPOT
Store1|Willstätterstraße 24, 40549 Düsseldorf|51.239645|6.719469|STORE
Store2|Bilker Allee 128, 40217 Düsseldorf|51.210891|6.774425|STORE
Store3|Hammer Landstraße 113, 41460 Neuss|51.2035|6.72116|STORE
Store4|Gladbacher Str. 471, 41460 Neuss|51.22547|6.69055|STORE
Store5|Lise-Meitner-Straße 1, 40878 Ratingen|51.29575|6.8301|STORE
C1|Friedrichstraße 133, 40217 Düsseldorf|51.210065|6.776541|CUSTOMER
C2|Fischerstraße 23, 40477 Düsseldorf|51.236674|6.777167|CUSTOMER
C3|Wildenbruchstraße 2, 40545 Düsseldorf|51.22942|6.74976|CUSTOMER
C4|Reisholzer Str. 48, 40231 Düsseldorf|51.206921|6.832382|CUSTOMER
